Max_Value,Neuron_Index,Predicted_Label
0.0,0,7
0.0,0,2
0.0,0,1
0.0,0,0
0.0,0,4
0.0,0,1
0.0,0,4
0.0,0,9
0.0,0,5
0.0,0,9
0.0,0,0
0.0,0,6
0.0,0,9
0.0,0,0
0.0,0,1
0.0,0,5
0.0,0,9
0.0,0,7
0.0,0,3
0.0,0,4
0.0,0,9
0.0,0,6
0.0,0,6
0.0,0,5
0.0,0,4
0.0,0,0
0.0,0,7
0.0,0,4
0.0,0,0
0.0,0,1
0.0,0,3
0.0,0,1
0.0,0,3
0.0,0,4
0.0,0,7
0.0,0,2
0.0,0,7
0.0,0,1
0.0,0,2
0.0,0,1
0.0,0,1
0.0,0,7
0.0,0,4
0.0,0,2
0.0,0,3
0.0,0,5
0.0,0,1
0.0,0,2
0.0,0,4
0.0,0,4
0.0,0,6
0.0,0,3
0.0,0,5
0.0,0,5
0.0,0,6
0.0,0,0
0.0,0,4
0.0,0,1
0.0,0,9
0.0,0,5
0.0,0,7
0.0,0,8
0.0,0,9
0.0,0,3
0.0,0,7
0.0,0,4
0.0,0,6
0.0,0,4
0.0,0,3
0.0,0,0
0.0,0,7
0.0,0,0
0.0,0,2
0.0,0,9
0.0,0,1
0.0,0,7
0.0,0,3
0.0,0,2
0.0,0,9
0.0,0,7
0.0,0,7
0.0,0,6
0.0,0,2
0.0,0,7
0.0,0,8
0.0,0,4
0.0,0,7
0.0,0,3
0.0,0,6
0.0,0,1
0.0,0,3
0.0,0,6
0.0,0,9
0.0,0,3
0.0,0,1
0.0,0,4
0.0,0,1
0.0,0,7
0.0,0,6
0.0,0,9
0.0,0,6
0.0,0,0
0.0,0,5
0.0,0,4
0.0,0,5
0.0,0,9
0.0,0,2
0.0,0,1
0.0,0,9
0.0,0,4
0.0,0,8
0.0,0,7
0.0,0,3
0.0,0,9
0.0,0,7
0.0,0,4
0.0,0,4
0.0,0,4
0.0,0,9
0.0,0,2
0.0,0,5
0.0,0,4
0.0,0,7
0.0,0,6
0.0,0,7
0.0,0,9
0.0,0,0
0.0,0,5
0.0,0,8
0.0,0,5
0.0,0,6
0.4557560980319977,27,6
0.0,0,5
0.0,0,7
0.0,0,8
0.0,0,1
0.0,0,0
0.0,0,1
0.0,0,6
0.0,0,4
0.0,0,6
0.0,0,7
0.0,0,3
0.0,0,1
0.0,0,7
0.0,0,1
0.0,0,8
0.0,0,2
0.0,0,0
0.0,0,2
0.0,0,9
0.0,0,8
0.07801321148872375,20,5
0.0,0,5
0.0,0,1
0.0,0,5
0.0,0,6
0.0,0,0
0.0,0,3
0.0,0,4
0.0,0,4
0.0,0,6
0.0,0,5
0.0,0,4
0.0,0,6
0.0,0,5
0.0,0,4
0.0,0,5
0.0,0,1
0.0,0,4
0.0,0,4
0.0,0,7
0.0,0,2
0.0,0,3
0.0,0,2
0.0,0,7
0.0,0,1
0.0,0,8
0.0,0,1
0.0,0,8
0.0,0,1
0.0,0,8
0.0,0,5
0.0,0,0
0.0,0,8
0.0,0,9
0.0,0,2
0.0,0,5
0.0,0,0
0.0,0,1
0.0,0,1
0.0,0,1
0.0,0,0
0.0,0,9
0.0,0,0
0.0,0,3
0.0,0,1
0.0,0,6
0.0,0,4
0.0,0,2
0.0,0,3
0.0,0,6
0.0,0,1
0.0,0,1
0.0,0,1
0.0,0,3
0.0,0,9
0.0,0,5
0.0,0,2
0.0,0,9
0.0,0,4
0.0,0,5
0.0,0,9
0.0,0,3
0.0,0,9
0.0,0,0
0.0,0,3
0.0,0,6
0.0,0,5
0.0,0,5
0.0,0,7
0.0,0,2
0.0,0,2
0.0,0,7
0.0,0,1
0.0,0,2
0.0,0,8
0.0,0,4
0.0,0,1
0.0,0,7
0.0,0,3
0.0,0,3
0.0,0,8
0.0,0,8
0.0,0,7
0.0,0,9
0.0,0,2
0.0,0,2
0.0,0,4
0.0,0,1
0.0,0,5
0.0,0,9
0.0,0,8
0.0,0,7
0.0,0,2
0.0,0,3
0.0,0,0
0.0,0,2
0.0,0,4
0.0,0,2
0.0,0,4
0.0,0,1
0.0,0,9
0.0,0,5
0.0,0,7
0.0,0,7
0.0,0,2
0.0,0,8
0.0,0,2
0.0,0,0
0.0,0,8
0.0,0,5
0.0,0,7
