neuron,label,count
437,Bag,7
437,Trouser,1
437,Pullover,1
437,Shirt,1
1200,Bag,4
1200,Trouser,1
1200,Coat,1
1200,T-shirt/top,2
1200,Shirt,1
1200,Dress,1
472,Trouser,1
472,Bag,6
472,Pullover,1
472,T-shirt/top,1
472,Shirt,1
2176,Bag,6
2176,Pullover,3
2176,Shirt,1
1568,Bag,6
1568,T-shirt/top,3
1568,Shirt,1
1595,Pullover,2
1595,Bag,8
1101,Bag,8
1101,Pullover,1
1101,Trouser,1
1942,T-shirt/top,1
1942,Bag,6
1942,Trouser,1
1942,Pullover,1
1942,Shirt,1
2277,Bag,7
2277,Trouser,1
2277,Shirt,1
2277,Pullover,1
36,Bag,4
36,Pullover,4
36,Shirt,1
36,T-shirt/top,1
73,Pullover,3
73,Bag,5
73,Shirt,2
858,Bag,4
858,Pullover,2
858,Shirt,1
858,Dress,1
858,T-shirt/top,2
1059,Pullover,2
1059,Bag,7
1059,Trouser,1
1488,Bag,6
1488,Pullover,3
1488,Trouser,1
900,Bag,6
900,Pullover,1
900,Shirt,1
900,Trouser,1
900,Coat,1
592,Bag,5
592,Pullover,2
592,T-shirt/top,2
592,Dress,1
945,Shirt,3
945,T-shirt/top,5
945,Dress,2
1774,Pullover,1
1774,Bag,2
1774,Dress,3
1774,T-shirt/top,4
2096,Bag,5
2096,Pullover,3
2096,Shirt,1
2096,T-shirt/top,1
1358,Pullover,4
1358,Bag,5
1358,T-shirt/top,1
1430,T-shirt/top,1
1430,Bag,6
1430,Pullover,2
1430,Trouser,1
242,Pullover,4
242,Bag,2
242,Shirt,3
242,Ankle boot,1
1475,Bag,5
1475,T-shirt/top,1
1475,Pullover,3
1475,Trouser,1
2056,Bag,5
2056,Trouser,1
2056,Pullover,3
2056,Shirt,1
1320,T-shirt/top,2
1320,Bag,5
1320,Shirt,1
1320,Pullover,2
183,Bag,6
183,Pullover,2
183,T-shirt/top,1
183,Trouser,1
552,T-shirt/top,5
552,Bag,2
552,Dress,1
552,Pullover,2
985,Bag,6
985,Pullover,4
1365,Bag,7
1365,Pullover,2
1365,Trouser,1
1448,Pullover,2
1448,Bag,7
1448,Shirt,1
653,Bag,5
653,Pullover,3
653,Shirt,1
653,T-shirt/top,1
1862,Trouser,1
1862,Bag,6
1862,Pullover,2
1862,Coat,1
282,Bag,5
282,Pullover,4
282,Shirt,1
1021,Pullover,5
1021,Shirt,1
1021,Bag,4
616,Bag,5
616,Pullover,4
616,T-shirt/top,1
1827,Bag,6
1827,T-shirt/top,1
1827,Pullover,2
1827,Trouser,1
1064,Bag,6
1064,Trouser,1
1064,Pullover,2
1064,Shirt,1
1749,Bag,4
1749,Coat,1
1749,Trouser,1
1749,Shirt,2
1749,Dress,1
1749,Pullover,1
978,Bag,5
978,Pullover,4
978,Trouser,1
1179,Bag,5
1179,Trouser,1
