neuron,label,count
1320,E,1
1320,C,3
1320,U,1
1320,W,1
1320,B,1
1320,S,1
1320,P,1
1320,G,1
906,S,1
906,W,3
906,Y,1
906,C,1
906,F,1
906,U,1
906,E,1
906,O,1
201,W,2
201,R,2
201,F,1
201,K,2
201,L,2
201,M,1
1960,S,1
1960,W,3
1960,Y,1
1960,F,1
1960,E,1
1960,G,1
1960,C,1
1960,J,1
1489,S,2
1489,C,2
1489,E,1
1489,W,2
1489,Y,1
1489,U,1
1489,O,1
1569,W,3
1569,Z,1
1569,C,1
1569,G,1
1569,E,1
1569,T,2
1569,D,1
879,U,1
879,C,2
879,Y,1
879,R,1
879,W,2
879,S,1
879,F,1
879,D,1
2241,E,1
2241,C,2
2241,Y,1
2241,W,2
2241,S,1
2241,B,1
2241,J,1
2241,R,1
2060,C,3
2060,E,1
2060,U,1
2060,F,1
2060,Z,1
2060,S,1
2060,W,1
2060,R,1
971,K,2
971,Y,1
971,J,1
971,P,1
971,D,1
971,B,1
971,G,1
971,W,1
971,E,1
1644,C,2
1644,E,1
1644,S,1
1644,W,1
1644,U,1
1644,T,1
1644,V,1
1644,K,1
1644,G,1
1815,C,2
1815,S,1
1815,W,2
1815,R,1
1815,B,1
1815,E,2
1815,K,1
2040,S,1
2040,Y,1
2040,E,2
2040,T,2
2040,P,1
2040,W,2
2040,O,1
1480,Y,1
1480,C,1
1480,W,1
1480,L,1
1480,Z,1
1480,U,1
1480,S,2
1480,E,1
1480,D,1
2124,W,2
2124,C,2
2124,Y,1
2124,S,2
2124,R,1
2124,[,1
2124,G,1
