neuron,label,count
1,G,1
1,I,1
1,L,1
1,P,1
1,R,1
1,S,1
1,T,1
1,V,1
1,W,1
1,[,1
100,B,1
100,K,1
100,M,1
100,N,1
100,P,1
100,X,1
100,Y,1
100,[,1
1000,C,1
1000,D,1
1000,N,1
1000,P,1
1000,Q,1
1000,R,1
1000,U,1
1000,Y,1
1000,Z,1
1002,E,1
1002,G,1
1002,J,1
1002,K,1
1002,M,1
1002,R,1
1002,S,1
1002,V,1
1002,Z,1
1003,B,1
1003,E,1
1003,I,1
1003,M,1
1003,Q,1
1003,R,1
1003,S,1
1003,T,1
1008,B,1
1008,E,1
1008,J,1
1008,K,1
1008,L,1
1008,R,1
1008,T,1
1008,X,1
1008,Y,1
1009,D,1
1009,H,1
1009,L,1
1009,O,1
1009,P,1
1009,S,1
1009,V,1
1009,[,1
101,E,1
101,I,1
101,T,1
101,U,1
101,V,1
101,X,1
1011,E,1
1011,G,1
1011,M,1
1011,S,1
1011,U,1
1011,W,1
1011,X,1
1018,B,1
1018,J,1
1018,K,1
1018,M,1
1018,O,1
1018,Q,1
1018,W,1
102,B,1
102,C,1
102,D,1
102,E,1
102,Q,1
102,R,1
102,T,1
102,V,1
102,W,1
1023,C,1
1023,E,1
1023,F,1
1023,I,1
1023,J,1
1023,M,1
1023,Q,1
1023,V,1
1028,B,1
1028,G,1
1028,I,1
1028,K,1
1028,L,1
1028,O,1
1028,S,1
1028,T,1
1028,U,1
1028,[,1
103,F,1
103,G,1
103,J,1
103,K,1
103,M,1
103,O,1
103,U,1
103,V,1
103,Y,1
1032,B,1
1032,D,1
1032,E,1
1032,H,1
1032,I,1
1032,T,1
1032,Y,1
1032,Z,1
1033,C,1
1033,H,1
1033,J,1
1033,L,1
1033,M,1
1033,O,1
1033,R,1
1033,V,1
1033,X,1
1035,J,1
1035,K,1
1035,L,1
1035,N,1
1035,O,1
1035,P,1
1035,R,1
1035,T,1
1035,X,1
1036,H,1
1036,I,1
1036,J,1
1036,L,1
1036,M,1
1036,Q,1
1036,R,1
1036,U,1
1036,V,1
1036,W,1
1037,C,1
1037,E,1
1037,F,1
1037,G,1
1037,L,1
1037,M,1
1037,S,1
1037,W,1
1039,D,1
1039,F,1
1039,G,1
1039,P,1
1039,Q,1
1039,T,1
1039,X,1
1039,Z,1
104,C,1
104,F,1
104,H,1
104,P,1
104,S,1
104,U,1
104,V,1
104,Y,1
104,[,1
1041,B,1
1041,D,1
1041,F,1
1041,L,1
1041,M,1
1041,U,1
1041,V,1
1041,X,1
1042,C,1
1042,E,1
1042,I,1
1042,J,1
1042,K,1
1042,L,1
1042,R,1
1042,S,1
1042,W,1
1043,G,1
1043,I,1
1043,J,1
1043,K,1
1043,M,1
1043,N,1
1043,Q,1
1043,V,1
1043,Y,1
1044,F,1
1044,J,1
1044,L,1
1044,N,1
1044,O,1
1044,U,1
1044,W,1
1049,B,1
1049,F,1
1049,I,1
1049,L,1
1049,M,1
1049,R,1
1049,U,1
1049,V,1
1049,W,1
1049,Y,1
105,B,1
105,K,1
105,L,1
105,M,1
105,O,1
105,Q,1
105,Z,1
1051,E,1
1051,G,1
1051,J,1
1051,N,1
1051,O,1
1051,R,1
1051,W,1
1051,Y,1
1051,[,1
1052,F,1
1052,I,1
1052,K,1
1052,L,1
1052,M,1
1052,O,1
1052,V,1
1052,Y,1
1052,Z,1
1052,[,1
1054,B,1
1054,J,1
1054,L,1
1054,Q,1
1054,V,1
1054,W,1
1054,X,1
1054,Y,1
1059,B,1
1059,F,1
1059,G,1
1059,J,1
1059,K,1
1059,L,1
1059,Y,1
1059,Z,1
1059,[,1
106,B,1
106,C,1
106,E,1
106,N,1
106,U,1
106,V,1
106,W,1
106,X,1
1062,C,1
1062,D,1
1062,H,1
1062,J,1
1062,K,1
1062,O,1
1062,Q,1
1062,S,1
1062,W,1
1067,B,1
1067,E,1
1067,H,1
1067,K,1
1067,M,1
1067,O,1
1067,T,1
1067,V,1
1068,E,1
1068,F,1
1068,G,1
1068,M,1
1068,O,1
1068,Q,1
1068,S,1
1068,T,1
1068,Z,1
1068,[,1
1069,E,1
1069,F,1
1069,G,1
1069,M,1
1069,N,1
1069,P,1
1069,T,1
1069,U,1
1072,C,1
1072,E,1
1072,I,1
1072,O,1
1072,X,1
1072,Z,1
1074,F,1
1074,H,1
1074,L,1
1074,N,1
1074,O,1
1074,S,1
1074,T,1
1074,Z,1
1075,B,1
1075,C,1
1075,J,1
1075,L,1
1075,P,1
1075,U,1
1075,X,1
1075,Y,1
1076,B,1
1076,D,1
1076,E,1
1076,I,1
1076,J,1
1076,Q,1
1076,S,1
1076,T,1
1076,X,1
108,C,1
108,D,1
108,E,1
108,F,1
108,L,1
108,O,1
108,T,1
108,Z,1
1081,C,1
1081,G,1
1081,I,1
1081,J,1
1081,K,1
1081,T,1
1081,X,1
1081,Z,1
1081,[,1
1082,B,1
1082,F,1
1082,G,1
1082,M,1
1082,O,1
1082,T,1
1082,X,1
1082,Z,1
1083,E,1
1083,F,1
1083,G,1
1083,J,1
1083,N,1
1083,U,1
1083,Z,1
1083,[,1
1087,C,1
1087,D,1
1087,E,1
1087,J,1
1087,K,1
1087,O,1
1087,P,1
1087,Q,1
1087,Z,1
1089,B,1
1089,D,1
1089,F,1
1089,G,1
1089,H,1
1089,K,1
1089,L,1
1089,S,1
1089,V,1
1089,Y,1
109,C,1
109,D,1
109,G,1
109,H,1
109,J,1
109,O,1
109,P,1
109,W,1
109,Z,1
1090,C,1
1090,E,1
1090,G,1
1090,H,1
1090,I,1
1090,M,1
1090,O,1
1090,W,1
1090,X,1
1090,Y,1
1092,F,1
1092,H,1
1092,J,1
1092,M,1
1092,P,1
1092,R,1
1092,T,1
1092,W,1
1092,Y,1
1094,H,1
1094,I,1
1094,L,1
1094,M,1
1094,Q,1
1094,S,1
1094,T,1
1106,F,1
1106,G,1
1106,I,1
1106,N,1
1106,P,1
1106,R,1
1106,T,1
1106,U,1
1106,Y,1
1106,Z,1
1107,C,1
1107,H,1
1107,I,1
1107,J,1
1107,L,1
1107,P,1
1107,R,1
1107,T,1
1107,U,1
1107,[,1
1108,D,1
1108,E,1
1108,K,1
1108,R,1
1108,W,1
1108,[,1
1109,B,1
1109,C,1
1109,F,1
1109,I,1
1109,J,1
1109,N,1
1109,U,1
1109,V,1
1109,W,1
1111,H,1
1111,I,1
1111,N,1
1111,O,1
1111,P,1
1111,S,1
1111,X,1
1111,Z,1
1111,[,1
1113,K,1
1113,L,1
1113,N,1
1113,P,1
1113,Q,1
1113,W,1
1113,X,1
1113,Y,1
1113,Z,1
1116,B,1
1116,E,1
1116,H,1
1116,J,1
1116,M,1
1116,N,1
1116,X,1
1119,C,1
1119,D,1
1119,E,1
1119,I,1
1119,J,1
1119,K,1
1119,M,1
1119,O,1
1119,S,1
1120,B,1
1120,D,1
1120,E,1
1120,H,1
1120,J,1
1120,X,1
1120,Z,1
1125,B,1
1125,C,1
1125,L,1
1125,Q,1
1125,R,1
1125,S,1
1125,T,1
1125,W,1
1125,Z,1
1127,F,1
1127,G,1
1127,H,1
1127,M,1
1127,P,1
1127,R,1
1127,U,1
1127,Y,1
1128,C,1
1128,E,1
1128,G,1
1128,I,1
1128,J,1
1128,L,1
1128,R,1
1128,W,1
1128,X,1
1128,[,1
113,B,1
113,E,1
113,G,1
113,L,1
113,N,1
113,P,1
113,R,1
113,U,1
113,W,1
113,X,1
1131,I,1
1131,J,1
1131,M,1
1131,Q,1
1131,R,1
1131,T,1
1131,U,1
1135,E,1
1135,H,1
1135,M,1
1135,N,1
1135,O,1
1135,Q,1
1135,V,1
1135,X,1
1135,Y,1
1139,B,1
1139,D,1
1139,E,1
1139,M,1
1139,P,1
1139,R,1
1139,S,1
1139,V,1
1139,[,1
114,E,1
114,F,1
114,N,1
114,O,1
114,P,1
114,U,1
114,V,1
114,Y,1
114,Z,1
1141,C,1
1141,G,1
1141,L,1
1141,M,1
1141,N,1
1141,O,1
1141,W,1
1141,Y,1
1141,Z,1
1146,F,1
1146,H,1
1146,M,1
1146,P,1
1146,V,1
1146,X,1
1146,Y,1
1146,[,1
1147,B,1
1147,G,1
1147,K,1
1147,M,1
1147,N,1
1147,S,1
1147,T,1
1147,U,1
1147,[,1
1148,E,1
1148,K,1
1148,O,1
1148,V,1
1148,W,1
1148,Z,1
1149,C,1
1149,D,1
1149,G,1
1149,I,1
1149,J,1
1149,M,1
1149,N,1
1149,U,1
1149,X,1
1151,C,1
1151,K,1
1151,L,1
1151,M,1
1151,O,1
1151,W,1
1151,X,1
1151,Z,1
1151,[,1
1155,D,1
1155,E,1
1155,H,1
1155,I,1
1155,Q,1
1155,T,1
1155,U,1
1155,W,1
1157,H,1
1157,N,1
1157,Q,1
1157,R,1
1157,S,1
1157,U,1
1157,W,1
1157,[,1
1158,H,1
1158,L,1
1158,P,1
1158,Q,1
1158,U,1
1158,W,1
1158,X,1
1158,Y,1
1162,C,1
1162,J,1
1162,K,1
1162,L,1
1162,N,1
1162,P,1
1162,Q,1
1162,U,1
1162,V,1
1164,D,1
1164,J,1
1164,P,1
1164,R,1
1164,V,1
1164,X,1
1166,B,1
1166,D,1
1166,L,1
1166,P,1
1166,Q,1
1166,S,1
1166,T,1
1166,W,1
1166,Z,1
1167,G,1
1167,K,1
1167,L,1
1167,N,1
1167,Q,1
1167,S,1
1167,X,1
1167,Y,1
1167,Z,1
117,B,1
117,D,1
117,F,1
117,G,1
117,L,1
117,T,1
117,X,1
1174,E,1
1174,G,1
1174,L,1
1174,O,1
1174,P,1
1174,Q,1
1174,S,1
1174,U,1
1177,B,1
1177,F,1
1177,I,1
1177,P,1
1177,Q,1
1177,R,1
1177,V,1
1177,Y,1
1177,Z,1
1180,C,1
1180,D,1
1180,G,1
1180,O,1
1180,S,1
1180,T,1
1180,U,1
1180,V,1
1180,[,1
1181,G,1
1181,H,1
1181,I,1
1181,O,1
1181,P,1
1181,Q,1
1181,U,1
1181,X,1
1181,Z,1
1182,E,1
1182,I,1
1182,K,1
1182,L,1
1182,N,1
1182,R,1
1182,T,1
1182,W,1
1182,X,1
1183,C,1
1183,D,1
1183,F,1
1183,J,1
1183,M,1
1183,S,1
1183,W,1
1183,X,1
1185,G,1
1185,H,1
1185,L,1
1185,N,1
1185,R,1
1185,X,1
1185,Z,1
1185,[,1
1186,C,1
1186,F,1
1186,G,1
1186,H,1
1186,K,1
1186,N,1
1186,Z,1
1186,[,1
1188,B,1
1188,C,1
1188,D,1
1188,M,1
1188,S,1
1188,W,1
1188,Y,1
1188,[,1
